15-001718|^|Apr 2015|^|48 Months|^|0.0.0.0.0-2###TFPI;15-001718;05C;INVERTED
15-001718|^|Apr 2015|^|6 Months|^|0.0.0.0.0-3###TFPI;15-001718;25C_60RH;INVERTED
